Source Language,Source ISO Code,Target Language,Target ISO Code,Text Type,Text,Trial,HF Translated Text,HF Translation Time (s),Gemini Translated Text,Gemini Translation Time (s)
English,en,Spanish,es,word,Hello,1,Hola.,0.2064800262451172,Hola,1.190209150314331
English,en,Spanish,es,word,Hello,2,Hola.,0.16759514808654785,Hola,0.611691951751709
English,en,Spanish,es,word,Hello,3,Hola.,0.1610851287841797,Hola,0.6687538623809814
English,en,Spanish,es,word,Hello,4,Hola.,0.1605839729309082,Hola,0.6184959411621094
English,en,Spanish,es,word,Hello,5,Hola.,0.16262292861938477,Hola,0.7936370372772217
English,en,Spanish,es,word,World,1,Mundo,0.1433868408203125,Mundo,0.6727240085601807
English,en,Spanish,es,word,World,2,Mundo,0.13337492942810059,Mundo,0.6292178630828857
English,en,Spanish,es,word,World,3,Mundo,0.1371147632598877,Mundo,1.2572481632232666
English,en,Spanish,es,word,World,4,Mundo,0.1401200294494629,Mundo,0.7586512565612793
English,en,Spanish,es,word,World,5,Mundo,0.1420447826385498,Mundo,0.7600657939910889
English,en,Spanish,es,word,Peace,1,Paz,0.1470630168914795,Paz,0.839911937713623
English,en,Spanish,es,word,Peace,2,Paz,0.1363530158996582,Paz,0.6145448684692383
English,en,Spanish,es,word,Peace,3,Paz,0.13616204261779785,Paz,0.6524429321289062
English,en,Spanish,es,word,Peace,4,Paz,0.13846302032470703,Paz,0.6362519264221191
English,en,Spanish,es,word,Peace,5,Paz,0.13677692413330078,Paz,0.6533079147338867
English,en,Spanish,es,word,Dream,1,Sueño,0.1659409999847412,Sueño,0.6812820434570312
English,en,Spanish,es,word,Dream,2,Sueño,0.16764307022094727,Sueño,0.6531550884246826
English,en,Spanish,es,word,Dream,3,Sueño,0.16260504722595215,Sueño,0.8176090717315674
English,en,Spanish,es,word,Dream,4,Sueño,0.15654993057250977,Sueño,0.9354991912841797
English,en,Spanish,es,word,Dream,5,Sueño,0.16455817222595215,Sueño,0.7999417781829834
English,en,Spanish,es,word,Sky,1,Cielo,0.13573908805847168,Cielo,0.787855863571167
English,en,Spanish,es,word,Sky,2,Cielo,0.12590813636779785,Cielo,0.7968759536743164
English,en,Spanish,es,word,Sky,3,Cielo,0.13141489028930664,Cielo,0.7586150169372559
English,en,Spanish,es,word,Sky,4,Cielo,0.1383199691772461,Cielo,0.6479942798614502
English,en,Spanish,es,word,Sky,5,Cielo,0.13329100608825684,Cielo,0.8824491500854492
English,en,Spanish,es,sentence,This is a test sentence.,1,Esta es una frase de prueba.,0.276123046875,Esta es una oración de prueba.,0.8300259113311768
English,en,Spanish,es,sentence,This is a test sentence.,2,Esta es una frase de prueba.,0.2612307071685791,Esta es una oración de prueba.,0.9066269397735596
English,en,Spanish,es,sentence,This is a test sentence.,3,Esta es una frase de prueba.,0.2731807231903076,Esta es una oración de prueba.,0.8046867847442627
English,en,Spanish,es,sentence,This is a test sentence.,4,Esta es una frase de prueba.,0.2679600715637207,Esta es una oración de prueba.,0.8735320568084717
